created_at,tweet_text,retweet_count,author,hashtags
Sun Feb 16 15:55:27 +0000 2020,"RT @seojyans: the most content creators ask for in exchange for hours upon hours of research, worldbuilding, actual writing is respect. don…",15,Valaena123,
Sun Feb 16 15:55:09 +0000 2020,"RT @seojyans: the most content creators ask for in exchange for hours upon hours of research, worldbuilding, actual writing is respect. don…",15,itsmclovinbot,
Sun Feb 16 15:54:19 +0000 2020,RT @WJGreenleaf: Our paper using single molecule sequencing to map long range chromatin accessibility is out in Nature Methods! Congrats to…,59,akaplanz,
Sun Feb 16 15:53:54 +0000 2020,"@Alternateline @SarahMarieGraye @mrjamesob @BBC @NetflixUK I’m probably on your side of the argument about the BBC,… https://t.co/JeGLpSEpzc",0,samuelsibeko,
Sun Feb 16 15:53:23 +0000 2020,"RT @_Ben_Franklin1: Dear @TeamCollins207 
If this was a pay-to-eat to raise funds for Collins’ campaign, then you’re misleading the public…",13,EqualVoteLocal,
Sun Feb 16 15:53:21 +0000 2020,#NAME?,0,just_jpt,
Sun Feb 16 15:52:32 +0000 2020,"@Circushellspawn I feel like R rating VS PG viewing  accessibility should explain the ""bullshit"" plenty. But I have… https://t.co/gIa6tAotCo",0,Orokin_Noob,
Sun Feb 16 15:52:30 +0000 2020,"RT @HamOnWheels: @SarahMarieDS @UniOfHull When people cite “historic preservation“ as a reason for not providing accessibility, the history…",196,r_daniels27,
Sun Feb 16 15:52:07 +0000 2020,"Listen as Cian O Connell plays a fantastic tune on the Emerald X20

The X20 features sculpted asymmetrical bevels a… https://t.co/kifq6fHLrc",1,EmeraldGuitars,
Sun Feb 16 15:51:49 +0000 2020,"RT @_marcusherrmann: #React friends, can you think of any other examples of using portals for accessibility besides the modal dialog one?",2,MDarrik,React
Sun Feb 16 15:50:58 +0000 2020,"RT @seojyans: the most content creators ask for in exchange for hours upon hours of research, worldbuilding, actual writing is respect. don…",15,speckledsolana,
Sun Feb 16 15:50:32 +0000 2020,"Court hands Bloomberg a win, ruling that taxis aren't subject to 'public' accessibility requirements https://t.co/Cyu3rjKpfo",0,NewYorkPhotoGal,
Sun Feb 16 15:50:20 +0000 2020,"Join the CVS Health team! See our latest job opening here: https://t.co/rki5Fn1BQy #IT #Boston, MA",0,tmj_BOS_adm,IT Boston
Sun Feb 16 15:49:24 +0000 2020,"RT @stevenspohn: Sub vs. Dub

Subtitles are an accessibility feature for the Deaf and hard of hearing communities.

Dubbing is an accessibi…",9242,ghaash,
Sun Feb 16 15:49:12 +0000 2020,"RT @GreenEyedLilo: Oh, I'd forgotten that Bloomberg fought attempts to improve taxi access for wheelchair-using passengers! #AMJoy https://…",4,Nataya,AMJoy
Sun Feb 16 15:48:13 +0000 2020,@tkurdi @markwafer @RebeccaCokley @maysoonzayid @CIL_Toronto @mich_mcq Yes @CIL_Toronto  gad two great disabled mod… https://t.co/hePHlzGDVi,0,johnyhansome,
Sun Feb 16 15:48:10 +0000 2020,Memes Are Still Inaccessible to the Blind | Time https://t.co/VAtpTyRUL8,0,OP0bVyQn9TinU5H,
Sun Feb 16 15:47:43 +0000 2020,"RT @GreenEyedLilo: Oh, I'd forgotten that Bloomberg fought attempts to improve taxi access for wheelchair-using passengers! #AMJoy https://…",4,ibeahussy,AMJoy
Sun Feb 16 15:47:19 +0000 2020,"RT @_marcusherrmann: #React friends, can you think of any other examples of using portals for accessibility besides the modal dialog one?",2,JacobPWylie,React
Sun Feb 16 15:47:04 +0000 2020,@joshhemsley My guess is that AM radio has a lot more reach than internet accessibility. There is a lot of areas th… https://t.co/MDBgRp1iLR,0,redbeard0x0A,
Sun Feb 16 15:46:53 +0000 2020,"Home Page is now fully responsive woot woot.

Lots more to do, but getting there tiny bit by tiny bit 🎉

After it's… https://t.co/ekRiC2dBgS",0,Becca9941,
Sun Feb 16 15:44:48 +0000 2020,RT @werenotwizards: Definitely worth while supporting this much needed content. Accessibility to games also requires  accessible games medi…,1,aSheepie,
Sun Feb 16 15:44:26 +0000 2020,"#React friends, can you think of any other examples of using portals for accessibility besides the modal dialog one?",2,_marcusherrmann,React
Sun Feb 16 15:44:24 +0000 2020,"@UsihChristopher It’s a big question, accessibility in schools and usability needs to be maintained, lots of restri… https://t.co/wPANWacr1p",0,9CLychak29,
Sun Feb 16 15:44:21 +0000 2020,"HassellInc: Interesting article from @Adobe on the similarities and differences between Accessibility, Universality… https://t.co/MdEXyn03iX",0,jonhassell,
Sun Feb 16 15:44:12 +0000 2020,"RT @hopwolf12093: @poweredbylove2 Teach ABLED kids about disability
 
Teach them about accessibility 

Teach them we are not tragedies 

Te…",23,OdyO11,
Sun Feb 16 15:44:05 +0000 2020,"‘Packed, Personal and Punchy, there is an accessibility here that makes this work universal, an economy of style ri… https://t.co/0vPEZGToI0",0,HollandParkPres,
Sun Feb 16 15:43:14 +0000 2020,@mattfarrell08 Agree.  Even with universal health care in  Canada mental health services like sessions with a psych… https://t.co/75UgETsQz7,0,LadyAnnaD,
Sun Feb 16 15:43:01 +0000 2020,"Folks, I’m in #Portland this week &amp; #Seattle the week after. I would love to meet the #designsystem #accessibility… https://t.co/2wlr5jvbFf",0,iamhiwelo,Portland Seattle designsystem accessibility
Sun Feb 16 15:42:03 +0000 2020,"RT @angularjobs: 📰 Angular Accessibility - JavaScript in Plain English - Medium
🔗 https://t.co/uPWmvhx3mB

Discuss in the Angular Mastermin…",3,angularjobs,
Sun Feb 16 15:42:02 +0000 2020,And we’ll have some fun looking at historic images! Grateful to folks I have met over the yrs who taught me what al… https://t.co/Cd3p4mnJyF,0,nicolebelolan,
Sun Feb 16 15:42:01 +0000 2020,We’ll be talking about quick &amp; easy things you can do to make your programming more accessible &amp; inclusive &amp; talk a… https://t.co/4jLcCdN6WW,0,nicolebelolan,
Sun Feb 16 15:42:00 +0000 2020,"RT @disability_X: INCONCEIVABLE! 
Why aren’t companies asking people with disabilities for their opinions and input?
Accessibility for all…",2,disability_X,
Sun Feb 16 15:42:00 +0000 2020,Anyone going to Small Museum Assoc. conference today? Join my co-presenters &amp; me at 3pm for our #Accessibility Lab!… https://t.co/FrB78Kucqv,1,nicolebelolan,Accessibility
Sun Feb 16 15:42:00 +0000 2020,"RT @joeharrispark: In one tweet everything that’s wrong with our MP. Lives in Norfolk, “visits” his constituency every so often and instruc…",13,gallimaufrey777,
Sun Feb 16 15:41:59 +0000 2020,Free WordPress Accessibility Support Forum https://t.co/6ItQokHyxg https://t.co/cRvyiwBzCj,0,WPMetaList,
Sun Feb 16 15:41:44 +0000 2020,"@LongWaverer I believe it’s a programming thing, but in a hashtag I think it helps programs which ‘read’ the screen… https://t.co/X0pugH8kO5",0,janebramley,
Sun Feb 16 15:41:29 +0000 2020,"RT @GreenEyedLilo: Oh, I'd forgotten that Bloomberg fought attempts to improve taxi access for wheelchair-using passengers! #AMJoy https://…",4,Lyntilla,AMJoy
Sun Feb 16 15:40:16 +0000 2020,Currently a big ball of anxiety because I'm living through flashbacks from nurses not understanding/accepting my ne… https://t.co/tvFAwNKUji,0,BadflowerAlly,
Sun Feb 16 15:40:06 +0000 2020,"Our YMCA Accessibility Ambassadors made a presentation to their peers in the Adult Day Program this week, unveiling… https://t.co/nwW2RjXbPg",0,YMCAMONCTON,
Sun Feb 16 15:39:25 +0000 2020,Our DPO delegate Henry delivered a powerful speech on #Disabilityinclusion and #Accessibility in the impl of… https://t.co/ZF5h4hV1Rh,0,HLagrelius,Disabilityinclusion Accessibility
Sun Feb 16 15:39:12 +0000 2020,"RT @kingisaac95: I just found myself unconsciously thinking of accessibility in a tiny little app I'm building.

Progress.",1,aceknoxxicecode,
Sun Feb 16 15:39:06 +0000 2020,"RT @seojyans: the most content creators ask for in exchange for hours upon hours of research, worldbuilding, actual writing is respect. don…",15,andnowforyaya,
Sun Feb 16 15:38:26 +0000 2020,"@ACJJustice @milesofsmiles25 @jennycohn1 some counties are using ES&amp;S with HMPBs and BMDs for disability.
each PA a… https://t.co/2czgocDe0u",0,Baazillla,
Sun Feb 16 15:38:24 +0000 2020,"found out what podfic means today and thats so cool? I think its neat there are ppl out there reading fics aloud, g… https://t.co/beNNy4bDMX",0,ComicalCarnival,
Sun Feb 16 15:37:58 +0000 2020,I think I need a lesson on accessibility. But why do clients think as soon as they break a nail at 10 pm I’m supposed to jump and fix it,0,PelfOfficial,
Sun Feb 16 15:37:26 +0000 2020,@MrClemps brave the switch version since that informs people that might consider that version because of the greate… https://t.co/mK3C5XOMYa,0,Ceresbane,
Sun Feb 16 15:37:20 +0000 2020,RT @bebarce: There will always be people who try to shut you down when you communicate about accessibility.  They make support of accessibi…,1,AdorkableSmile,
Sun Feb 16 15:37:19 +0000 2020,We deserve accessibility. We deserve education. We deserve more than this. https://t.co/IhVVJgklRI,0,Chronically_Meg,
Sun Feb 16 15:36:53 +0000 2020,"RT @DibsOnBlueGames: What shade of blue are you?

Consider pledging your support today for a channel dedicated to accessibility in board ga…",4,meeplelikeus,
Sun Feb 16 15:36:28 +0000 2020,"Beer is better in every way.
Better quality
Better range
Better accessibility 
Better drive to improve
Better diver… https://t.co/cloxdCuBN0",1,brownhill87,
Sun Feb 16 15:35:09 +0000 2020,RT @JoyceWilliams_: Suspect they dont understand age very well.  Confuse it with disability and accessibility. When the big issues for most…,3,Acrobat13,
Sun Feb 16 15:35:07 +0000 2020,"Interesting article from @Adobe on the similarities and differences between Accessibility, Universality, and Inclus… https://t.co/y4dKd2sAUc",0,HassellInc,
Sun Feb 16 15:35:05 +0000 2020,RT @A11yAdvice: Add a link at the top of the page to allow people using a keyboard and/or a screen reader to skip over common elements on e…,5,arnauddelafosse,
Sun Feb 16 15:34:51 +0000 2020,"@michaelr50 @looknorthBBC We don't need your ""help"". We need accessibility to all places.",0,Chronically_Meg,
Sun Feb 16 15:34:38 +0000 2020,RT @sesmith: So apparently we have to go through this every few months now: It is absolutely not acceptable to use disabled people and acce…,62,crutchingreader,
Sun Feb 16 15:34:18 +0000 2020,"RT @hedonish: If you're hosting an event, you need to have accessibility information available. Not having it is just laziness and ableism.…",13,RebelliousMag,
Sun Feb 16 15:33:45 +0000 2020,"RT @AmandaKhan310: Powerful to see this family knocking on doors to get out and vote! 

We #NVcaucus for our families, for babies, for thos…",5,VegasJournalist,NVcaucus
Sun Feb 16 15:33:17 +0000 2020,@dev_jac This is suuuuuuper 🧈 buttery. Forget accessibility every once in awhile and just call it art!,0,beergrammer,
